Longitude,Latitude
-53.30607387541661,-11.00422748317152
-53.30661286458708,-11.004317314699932
-53.30562471777455,-11.0055749560977
-53.31891978397952,-11.006652934438643
-53.30517556013249,-11.006742765967054
-53.31757231105334,-11.006832597495466
-53.31523669131463,-11.008000407364822
-53.31523669131463,-11.008090238893233
-53.31748247952493,-11.008180070421647
-53.30257044580854,-11.008180070421647
-53.300773815240305,-11.00835973347847
-53.30068398371189,-11.008719059592117
-53.31559601742828,-11.009078385705765
-53.315506185899864,-11.009078385705765
-53.304097581791545,-11.009347880291001
-53.31451803908733,-11.009437711819412
-53.31712315341128,-11.009976700989885
-53.31451803908733,-11.009976700989885
-53.31379938686003,-11.009976700989885
-53.31370955533163,-11.009976700989885
-53.32305203428647,-11.010336027103532
-53.31451803908733,-11.010605521688769
-53.31442820755892,-11.010605521688769
-53.31451803908733,-11.01069535321718
-53.31442820755892,-11.01069535321718
-53.31442820755892,-11.010785184745592
-53.30337892956425,-11.010785184745592
-53.31406888144527,-11.010964847802416
-53.31397904991686,-11.010964847802416
-53.32314186581488,-11.01204282614336
-53.312451913933856,-11.012851309899068
-53.30849932668373,-11.01294114142748
-53.30840949515532,-11.01294114142748
-53.31182309323497,-11.013659793654774
-53.309577305024675,-11.01392928824001
-53.31227225087704,-11.014019119768422
-53.308858652797376,-11.014019119768422
-53.31038578878038,-11.014108951296835
-53.30876882126897,-11.014108951296835
-53.307241685285966,-11.014108951296835
-53.31038578878038,-11.014198782825247
-53.30876882126897,-11.014198782825247
-53.307241685285966,-11.014198782825247
-53.31083494642244,-11.014288614353658
-53.31164343017815,-11.014647940467306
-53.31155359864974,-11.014647940467306
-53.30679252764391,-11.01482760352413
-53.306702696115494,-11.01482760352413
-53.30858915821214,-11.01527676116619
-53.30796033751326,-11.01527676116619
-53.30921797891103,-11.015546255751426
-53.30778067445644,-11.015546255751426
-53.307421348342785,-11.015546255751426
-53.30867898974056,-11.01572591880825
-53.3097569680815,-11.015905581865074
-53.3097569680815,-11.015995413393485
-53.307870505984845,-11.016085244921898
-53.3075111798712,-11.016085244921898
-53.307870505984845,-11.01617507645031
-53.37236954338463,-11.016354739507133
-53.30508572860408,-11.016354739507133
-53.30984679960991,-11.016444571035546
-53.30867898974056,-11.016444571035546
-53.304367076376785,-11.016444571035546
-53.3075111798712,-11.016714065620782
-53.307421348342785,-11.016714065620782
-53.30876882126897,-11.016803897149194
-53.30391791873472,-11.016803897149194
-53.30876882126897,-11.016893728677605
-53.30391791873472,-11.016893728677605
-53.36949493447545,-11.016983560206016
-53.369405102947034,-11.016983560206016
-53.37335769019716,-11.01707339173443
-53.3082298320985,-11.01707339173443
-53.30355859262107,-11.017163223262841
-53.30715185375755,-11.017342886319664
-53.305534886246136,-11.017432717848077
-53.30544505471772,-11.017432717848077
-53.36904577683339,-11.017522549376489
-53.30652303305867,-11.017522549376489
-53.36904577683339,-11.0176123809049
-53.368955945304975,-11.0176123809049
-53.3037382556779,-11.017702212433313
-53.3037382556779,-11.017792043961725
-53.30661286458708,-11.017971707018548
-53.304367076376785,-11.017971707018548
-53.30337892956425,-11.018061538546961
-53.3082298320985,-11.018151370075373
-53.37335769019716,-11.018331033132196
-53.372998364083514,-11.018331033132196
-53.307870505984845,-11.018331033132196
-53.30607387541661,-11.018420864660609
-53.30706202222914,-11.018600527717432
-53.30679252764391,-11.018600527717432
-53.306702696115494,-11.018600527717432
-53.30706202222914,-11.018690359245845
-53.30679252764391,-11.018690359245845
-53.306702696115494,-11.018690359245845
-53.308140000570084,-11.018870022302668
-53.30589421235978,-11.018870022302668
-53.305804380831376,-11.018870022302668
-53.374166173952865,-11.01895985383108
-53.30778067445644,-11.01895985383108
-53.30589421235978,-11.019139516887904
-53.305804380831376,-11.019139516887904
-53.304367076376785,-11.019588674529963
-53.30418741331996,-11.019678506058376
-53.3075111798712,-11.019768337586788
-53.30472640249043,-11.019768337586788
-53.30239078275172,-11.019768337586788
-53.30230095122331,-11.019768337586788
-53.303648424149486,-11.0198581691152
-53.30355859262107,-11.0198581691152
